Topic,Stance,Text,Source,Annotator
Cannabis Legalization,Favour,"“With recreational cannabis, what you’re looking for is intoxication—that is not necessarily the case for medicinal cannabis,” Cairns said.",https://www.leafly.com/news/canada/keep-canadas-medical-adult-use-systems-separate-researchers-say,Rebecca
Cannabis Legalization,Neutral,#Cannabis possession is a very controversial topic in recent times because of different state and federal guidelines concerning the same product,https://twitter.com/online420cardoc/statuses/1141390417461678083,Rebecca
Cannabis Legalization,Against,A Canadian study published in the Journal of Child Psychology and Psychiatry in 2017 showed a substantial increase in “psychotic-like experiences” in teenage users. The study also reported adverse effects on cognitive development and increased symptoms of depression.,https://www.nbcnews.com/storyline/legal-pot/daily-use-high-potency-marijuana-linked-higher-rates-psychosis-study-n985151,Rebecca
Cannabis Legalization,Against,A national study using data from the National Household Survey on Drug Use and Health from 2002 to 2008 found that the average past-month prevalence of marijuana use was 8.7% in states that had legalized medical marijuana and 6.9% in other states,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5474164/,Rebecca
Cannabis Legalization,Favour,"Advocates say it’s a good step, but it still leaves many medical conditions out of the picture for legal use",https://twitter.com/WeAreIBP/statuses/1141362911459213312,Rebecca
Cannabis Legalization,Against,"Although adolescents rarely obtain marijuana directly from medical dispensaries (Boyd, Veliz, & McCabe, 2015), the legalization of medical marijuana may nonetheless affect adolescents’ use by increasing its availability through diversion from social sources, by fostering social norms that are favorable to marijuana use, or by reinforcing beliefs that marijuana use is not harmful",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5474164/,Rebecca
Cannabis Legalization,Against,"Although research supports some medicinal benefits of marijuana, youth who frequently use cannabis are more likely to experience negative consequences such as increased risk of mental and physical health problems, school drop-out, relationship problems and motor vehicle accidents, according to the Rand researchers.",https://www.latimes.com/local/lanow/la-me-marijuana-pot-dispensary-young-people-20190617-story.html,Rebecca
Cannabis Legalization,Favour,"As cannabis legalization spreads across the globe, another mind-altering drug is trying to follow in its tracks: magic mushrooms",https://twitter.com/tictoc/status/1141356231807967232,Rebecca
Cannabis Legalization,Against,"As more than a dozen states from Hawaii to New Hampshire consider legalizing marijuana, doctors warn of an urgent need for better education — not just of teens but of parents and lawmakers — about how the products being marketed can significantly affect young people’s brain development.",https://www.washingtonpost.com/national/potent-pot-vulnerable-teens-trigger-concerns-in-first-states-to-legalize-marijuana/2019/06/15/52df638a-8c9a-11e9-8f69-a2795fca3343_story.html?utm_term=.f145c0337939,Rebecca
Cannabis Legalization,Favour,"Before I had access to medical cannabis, I was almost bedbound.",https://www.healtheuropa.eu/medical-cannabis-clinic-london/92072/?fbclid=IwAR1k0i2FhTnvpsCfi3va5T5jCsJfjMfJOb3LQTFx5pYsH8yKJ9wti_Im-1o,Rebecca
Cannabis Legalization,Favour,"Carly Barton, from Brighton, has the neurological condition fibromyalgia and said cannabis was the only treatment that helped relieve her symptoms.",https://www.bbc.co.uk/news/av/uk-england-sussex-47941956/growing-medicinal-cannabis-i-m-not-a-criminal,Rebecca
Cannabis Legalization,Favour,"CBD, Medical Marijuana are not legal or available in every state. My system has adapted to the meds. Weening off these things has caused my symptoms to worsen.",https://twitter.com/Irretnnyl/statuses/1141395957734494208,Rebecca
Cannabis Legalization,Against,China Blames Marijuana Legalization In Canada And Parts Of The US For A 25 Percent Spike In The Country’s Cannabis Use,https://www.blazingcatfur.ca/2019/06/19/china-blames-marijuana-legalization-in-canada-and-parts-of-the-us-for-a-25-percent-spike-in-the-countrys-cannabis-use/,Rebecca
Cannabis Legalization,Favour,"Communities of color have been disproportionately impacted by laws governing marijuana for far too long, and it has to end, Cuomo said.",https://edition.cnn.com/2019/06/19/politics/new-york-marijuana-legalization-bill-fails/index.html,Rebecca
Cannabis Legalization,Against,"Daily cannabis use, especially of the high potency strains, is linked to an increased risk of developing psychosis, according to new research released Tuesday.",https://www.nbcnews.com/storyline/legal-pot/daily-use-high-potency-marijuana-linked-higher-rates-psychosis-study-n985151,Rebecca
Cannabis Legalization,Favour,"Dawson qualified to get medicine from Compassionate Cultivation. The results were astonishing. He went seizure-free for two months, and now he gets them only once or twice a week.",https://www.ksat.com/health/medical-marijuana/local-family-speaks-about-how-medical-cannabis-has-helped-there-son,Rebecca
Cannabis Legalization,Favour,Decriminalise the use of medicinal cannabis for people with terminal cancer like my son,https://twitter.com/MarkNor40339221/statuses/1141641457180147717,Rebecca
Cannabis Legalization,Favour,"Decriminalization hasn't worked for the last several decades in NY. Time is up for decriminalization and for those elected officials, and aspiring candidates, who are trying to keep us in the dark ages of social and economic justice",https://www.facebook.com/100002560486229/posts/2201232993305362/,Rebecca
Cannabis Legalization,Favour,Democratic lawmakers in support of legalization lamented the delay. New York Gov. Andrew Cuomo cited the bill's potential to end racially disproportionate policing around the drug as a reason to try again in the future.,https://edition.cnn.com/2019/06/19/politics/new-york-marijuana-legalization-bill-fails/index.html,Rebecca
Cannabis Legalization,Favour,"Despite the change in law, only a handful of patients have successfully accessed medical cannabis treatment via the NHS, meaning this new clinic will act as a lifeline to those who have thus far struggled to access this treatment.",https://www.healtheuropa.eu/medical-cannabis-clinic-london/92072/?fbclid=IwAR1k0i2FhTnvpsCfi3va5T5jCsJfjMfJOb3LQTFx5pYsH8yKJ9wti_Im-1o,Rebecca
Cannabis Legalization,Favour,"DPA has been advocating at the state legislature for passage of a Constitutional Amendment allowing the possession, use, and sales of marijuana in New Mexico. This will increase tax revenue, generate commerce and support the agricultural economy.",http://www.drugpolicy.org/issues/marijuana-legalization-and-regulation,Rebecca
Cannabis Legalization,Favour,"Existing data are “inconclusive about whether the changes that have been linked to early cannabis use are damaging in the long term,” Morgan Fox, media relations director for the National Cannabis Industry Association, said in an email.",https://www.washingtonpost.com/national/potent-pot-vulnerable-teens-trigger-concerns-in-first-states-to-legalize-marijuana/2019/06/15/52df638a-8c9a-11e9-8f69-a2795fca3343_story.html?utm_term=.f145c0337939,Rebecca
Cannabis Legalization,Against,"Figures for opioid deaths remain high in Alberta, though health-care experts say those numbers seem to be levelling out in recent months.",https://calgaryherald.com/cannabis/cannabis-health/cannabis-related-hospital-visits-spike-since-legalization-physicians,Rebecca
Cannabis Legalization,Favour,"Following successful treatment with cannabis oil, Alfie has had only one hospital admission in a year, his seizures are controlled, and he can now live a more normal life. Although around 500,000 people in the UK have epilepsy, not one more person has been prescribed the treatment on the NHS since this case.",https://www.healtheuropa.eu/medical-cannabis-clinic-london/92072/?fbclid=IwAR1k0i2FhTnvpsCfi3va5T5jCsJfjMfJOb3LQTFx5pYsH8yKJ9wti_Im-1o,Rebecca
Cannabis Legalization,Favour,"For supporters who had hoped the nation's fourth-most populous state would soon join the growing list of states where recreational pot is legal, the failure of the bill was a significant disappointment",https://abcnews.go.com/US/wireStory/sponsor-ny-bill-legalize-recreational-pot-pass-63809832,Rebecca
Cannabis Legalization,Against,For the first time we have consistent evidence that there is a dose-dependent relationship between cannabis use and induced psychosis at a population level. The more cannabis you consume the more likely you are to develop a psychotic disorder.”,https://www.nbcnews.com/storyline/legal-pot/daily-use-high-potency-marijuana-linked-higher-rates-psychosis-study-n985151,Rebecca
Cannabis Legalization,Neutral,"Given these inconclusive findings and interpretations, further research on the association between medical marijuana legalization and adolescents’ marijuana use and beliefs is needed",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5474164/,Rebecca
Cannabis Legalization,Favour,He told the story of addicts with hepatitis C or HIV using a medical cannabis prescription and discovering they didn’t have the same desire for heroin or crystal meth after using it.,https://www.country94.ca/2019/06/19/older-canadians-are-using-and-curious-about-medical-cannabis/?sc_ref=twitter,Rebecca
Cannabis Legalization,Favour,Health will transform beyond medicine w cannabis,https://twitter.com/chiccomarx/statuses/1141630176444334080,Rebecca
Cannabis Legalization,Against,"Hospital visits related to cannabis use have increased by 25 per cent in Calgary since recreational use of the substance was legalized, say physicians.",https://calgaryherald.com/cannabis/cannabis-health/cannabis-related-hospital-visits-spike-since-legalization-physicians,Rebecca
Cannabis Legalization,Favour,"I always found it amusing - if you are deathly ill, you can smoke weed, but if you're perfectly healthy - weeds gonna kill ya!",https://twitter.com/Feb2nd1979/status/1140806668143476736,Rebecca
Cannabis Legalization,Favour,"i tried this last night cos i was so anxious + have a bad migraine and in less than an hour, it calmed me and my migraine subsided.... i dont wanna live my life without this anymore  legalize medical marijuana",https://twitter.com/softestspice/statuses/1141627351672901632,Rebecca
Cannabis Legalization,Against,"I'm glad weed legalization fell through, it smells annoying",https://twitter.com/saltybrat2000/statuses/1141357487741968386,Rebecca
Cannabis Legalization,Favour,I’ve been arrested or detained 3x for my medical cannabis. What if I was just another black man in America?,https://twitter.com/DickandSharon/status/1141389297431601152,Rebecca
Cannabis Legalization,Favour,"In a statement, Mr. Cuomo said, “communities of color have been disproportionately impacted by laws governing marijuana for far too long and it has to end.",https://www.wsj.com/articles/effort-to-legalize-marijuana-in-new-york-dead-for-now-11560951764,Rebecca
Cannabis Legalization,Favour,"In fact, 86% of supporters cite the drug’s benefits to those who use it medicinally as a “very important” reason they favor legalization, according to a Gallup poll of more than 1,000 U.S. adults conducted between May 15 and May 30.",https://www.marketwatch.com/story/1-in-3-us-adults-is-interested-in-using-legalized-cannabis-but-not-for-the-reason-youd-think-2019-06-05,Rebecca
Cannabis Legalization,Favour,"In New York City, where NYPD officers have been directed to stop issuing criminal summonses to people caught with a small amount of weed, 674 city residents were arrested for low-level marijuana possession and another 500 received the non-criminal unlawful possession charge in the first four months of 2019.",https://gothamist.com/2019/06/19/marijuana_legalization_albany.php?utm_medium=social&utm_source=twitter&utm_campaign=shared_twitter,Rebecca
Cannabis Legalization,Favour,"It doesn’t take much political courage in 2019 to support weed legalization, as well as a $15 min wage. Even Trump’s own primary challenger supports legalizing weed.",https://twitter.com/AstroBern/statuses/1141392184798789633,Rebecca
Cannabis Legalization,Against,It's early days with the Canadian cannabis legalization experiment but use is escalating and there are now reports of the adverse health impacts,https://twitter.com/BobbySmyth4/status/1140508470036316160,Rebecca
Cannabis Legalization,Favour,"Krueger added, ""that delay means countless more New Yorkers will have their lives upended by unnecessary and racially disparate enforcement measures before we inevitably legalize.",https://edition.cnn.com/2019/06/19/politics/new-york-marijuana-legalization-bill-fails/index.html,Rebecca
Cannabis Legalization,Favour,"Krueger said she would continue to push for the legalization and regulation of pot that invests in ""the communities most harmed by decades of failed prohibition policies.""",https://patch.com/new-york/new-york-city/marijuana-legalization-bill-dead-new-york-lawmaker-says,Rebecca
Cannabis Legalization,Favour,"Last week, the Texas House passed two bipartisan bills that would add other medical conditions to the list that qualify for the cannabis oil.",https://www.ksat.com/health/medical-marijuana/local-family-speaks-about-how-medical-cannabis-has-helped-there-son,Rebecca
Cannabis Legalization,Favour,Legalizing and regulating marijuana will bring one of the nation's largest cash crops under the rule of law. This will create jobs and economic opportunities in the formal economy instead of the illicit market.,http://www.drugpolicy.org/issues/marijuana-legalization-and-regulation,Rebecca
Cannabis Legalization,Neutral,"Legislation to legalize marijuana in the Empire State will not pass this session, said state Sen. Liz Krueger, the bill's chief sponsor.",https://patch.com/new-york/new-york-city/marijuana-legalization-bill-dead-new-york-lawmaker-says,Rebecca
Cannabis Legalization,Against,"Living near marijuana dispensaries makes youth more likely to use it, study finds",https://www.latimes.com/local/lanow/la-me-marijuana-pot-dispensary-young-people-20190617-story.html,Rebecca
Cannabis Legalization,Against,"Many countries have legalized or decriminalized cannabis use, leading to concerns that this might result in an increase in cannabis use and associated harms.",https://www.nbcnews.com/storyline/legal-pot/daily-use-high-potency-marijuana-linked-higher-rates-psychosis-study-n985151,Rebecca
Cannabis Legalization,Favour,"Marijuana legalizationis an important step toward a more safe, more just, and more equitable Illinois.",https://twitter.com/ThinkBigIL/statuses/1141392699330666496,Rebecca
Cannabis Legalization,Favour,Marijuana product testing is becoming a standard requirement for legalized marijuana markets. This means consumers are better informed about the marijuana they use.,http://www.drugpolicy.org/issues/marijuana-legalization-and-regulation,Rebecca
Cannabis Legalization,Against,"Marijuana use during adolescence has been associated with a variety of negative consequences, including increased risk of fatal motor vehicle crashes (Asbridge, Hayden & Cartwright, 2012; Asbridge, et al., 2014); accidental injury, respiratory illness, and psychotic disorders (Hall, 2009; Hall & Degenhardt, 2009); impairment of cognitive functioning and brain development (Volkow, et al., 2016); and problems in adulthood such as low educational attainment, greater risk of drug dependence, involvement in crime and incarceration",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5474164/,Rebecca
Cannabis Legalization,Neutral,Maryland Senate Passes Bill That Allows Medical Cannabis Patients to Own Guns,https://shopatbloom.com/blog/maryland-senate-passes-bill-that-allows-medical-cannabis-patients-to-own-guns/?fbclid=IwAR0cNn63xCC04gEUOGpmLeYWawlkCEP0IWwfn7g9QVYr8IM_64-v1CGEIoM,Rebecca
Cannabis Legalization,Favour,Maybe @NYGovCuomo doesn't care about $300 million because it would not go directly into his pockets! He's got medical marijuana lobbyists for that!,https://twitter.com/jayrobs55/statuses/1141359761151156231,Rebecca
Cannabis Legalization,Against,"Millions of Americans get behind the wheel while high from smoking marijuana, a study released on Wednesday said.",https://nypost.com/2019/06/19/millions-of-americans-drive-stoned-and-dont-care-about-getting-caught/,Rebecca
Cannabis Legalization,Favour,"Morgan Fox, a spokesman for the National Cannabis Industry Association, said the industry has an opportunity “to set the standard for corporate responsibility and build an emphasis on ethical environmental, business, and social practices into its foundation.”",https://nypost.com/2019/06/19/marijuana-industry-wants-to-prove-its-socially-responsible/,Rebecca
Cannabis Legalization,Favour,"Representing a vital step forward for those living with a range of chronic and debilitating conditions, today marks the launch of the medical team behind the UK’s first medical cannabis clinic",https://twitter.com/med_cann/statuses/1141624553006948352,Rebecca
Cannabis Legalization,Favour,Reschedule Marijuana & make at least Medical legal nationwide!!! We are suffering!,https://twitter.com/page_starr/statuses/1141362353608507393,Rebecca
Cannabis Legalization,Against,Researchers found that cannabis use during the teenage years was associated with a nearly 40 percent bump in the risk of depression and a 50 percent increase in the risk of suicidal thoughts in adulthood,https://www.nbcnews.com/storyline/legal-pot/teen-pot-smoking-raises-risk-depression-adulthood-study-finds-n971356,Rebecca
Cannabis Legalization,Against,"Researchers have shown that the 10 states with the highest rate of past month marijuana use by youth all have legalized recreational and/or medical use of marijuana, whereas none of the 10 states with the lowest rate of past month marijuana use by youth, has legalized marijuana.",https://www.ncbi.nlm.nih.gov/pubmed/30133781,Rebecca
Cannabis Legalization,Against,"Results of multi-level analyses indicated significant positive associations between rates of marijuana patients and growers per 1,000 population and the prevalence of past 30-day marijuana use, controlling for youth demographic characteristics.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5474164/,Rebecca
Cannabis Legalization,Favour,Seeing the improvements in their son has made the Stallcups more vocal about current legislation and the limited access other families have.,https://www.ksat.com/health/medical-marijuana/local-family-speaks-about-how-medical-cannabis-has-helped-there-son,Rebecca
Cannabis Legalization,Favour,She said NHS England had been ordered to undertake a “rapid re-evaluation and address any system barriers” over prescribing it.,https://www.bbc.co.uk/news/av/uk-politics-48691785/pmqs-tonia-antoniazzi-asks-pm-about-medical-cannabis,Rebecca
Cannabis Legalization,Favour,"Some 65% of Americans now consider smoking marijuana to be morally acceptable, recent Gallup polling has found.",https://www.marketwatch.com/story/1-in-3-us-adults-is-interested-in-using-legalized-cannabis-but-not-for-the-reason-youd-think-2019-06-05,Rebecca
Cannabis Legalization,Favour,State and local governments would acquire significant new sources of tax revenue from regulating marijuana sales.,http://www.drugpolicy.org/issues/marijuana-legalization-and-regulation,Rebecca
Cannabis Legalization,Against,"THC is the culprit in the psychotic events,” said Di Forti.",https://www.nbcnews.com/storyline/legal-pot/daily-use-high-potency-marijuana-linked-higher-rates-psychosis-study-n985151,Rebecca
Cannabis Legalization,Favour,"The cash-only marijuana industry “poses a serious threat to the security of our communities,” Patronis added",https://starlitecbd.com/wlrn/patronis-seeks-banking-changes-for-medical-marijuana/,Rebecca
Cannabis Legalization,Favour,"The criminalization of marijuana use disproportionately harms young people and people of color, sponsors massive levels of violence and corruption, and fails to curb youth access.",http://www.drugpolicy.org/issues/marijuana-legalization-and-regulation,Rebecca
Cannabis Legalization,Favour,The Drug Policy Alliance (DPA) believes marijuana should be removed from the criminal justice system and regulated like alcohol and tobacco.,http://www.drugpolicy.org/issues/marijuana-legalization-and-regulation,Rebecca
Cannabis Legalization,Favour,"The emerging legal industry is “in a unique position to set a new bar for socially responsible practices,” the group’s executive director, Kim Wilson, said in a statement.",https://nypost.com/2019/06/19/marijuana-industry-wants-to-prove-its-socially-responsible/,Rebecca
Cannabis Legalization,Against,"The first two states to legalize recreational marijuana are starting to grapple with teenagers’ growing use of highly potent pot, even as both boost the industry and reap huge tax windfalls from its sales.",https://www.washingtonpost.com/national/potent-pot-vulnerable-teens-trigger-concerns-in-first-states-to-legalize-marijuana/2019/06/15/52df638a-8c9a-11e9-8f69-a2795fca3343_story.html?utm_term=.f145c0337939,Rebecca
Cannabis Legalization,Favour,The governor easily could have gotten this done. But when Black legislators demanded reinvestment back into their communities...he committed to killing it,https://gothamist.com/2019/06/19/marijuana_legalization_albany.php?utm_medium=social&utm_source=twitter&utm_campaign=shared_twitter,Rebecca
Cannabis Legalization,Against,"The increase was most notable in the years following legalization of medical sales in 2009 and retail use in 2014, according to a study in the Journal of Adolescent Health published in 2018.",https://www.washingtonpost.com/national/potent-pot-vulnerable-teens-trigger-concerns-in-first-states-to-legalize-marijuana/2019/06/15/52df638a-8c9a-11e9-8f69-a2795fca3343_story.html?utm_term=.f145c0337939,Rebecca
Cannabis Legalization,Against,"The liberalization of marijuana laws raises public health concerns, especially related to the potential effects on marijuana use by adolescents.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5474164/,Rebecca
Cannabis Legalization,Favour,"The omnibus marijuana bill would have created a new state agency to regulate cannabis, expunged the records of people previously convicted of marijuana possession and set aside a portion of state tax revenues—which proponents estimated would eventually be $300 million a year—for communities that were disproportionately affected by marijuana arrests.",https://www.wsj.com/articles/effort-to-legalize-marijuana-in-new-york-dead-for-now-11560951764,Rebecca
Cannabis Legalization,Favour,"The perception of marijuana use has been changing through the decades, causing millions of people to consider the benefits of Cannabis.",https://twitter.com/Jennife92929063/status/1141187868221681664,Rebecca
Cannabis Legalization,Favour,The Swedish Cannabis Legalization Movement speaks out against the lies and idiocies of Swedish drug policy,https://twitter.com/Bardissimo/status/1141286169508012032,Rebecca
Cannabis Legalization,Favour,"There is evidence that cannabis and/or cannabinoids can help with conditions like pain, multiple sclerosis-related muscle spasms and chemotherapy-related nausea, according to a 2017 research review by the National Academies of Science, Engineering and Medicine.",https://www.marketwatch.com/story/1-in-3-us-adults-is-interested-in-using-legalized-cannabis-but-not-for-the-reason-youd-think-2019-06-05,Rebecca
Cannabis Legalization,Favour,There is more public support for marijuana law reform than ever before with new polls showing more than half the country is in favor of legalizing marijuana.,http://www.drugpolicy.org/issues/marijuana-legalization-and-regulation,Rebecca
Cannabis Legalization,Against,"These findings suggest that a greater number of registered marijuana patients and growers per 1,000 population in Oregon counties was associated with a higher prevalence of marijuana use among youth from 2006 to 2015, and that this relationship was partially attributable to perceived norms favorable towards marijuana use.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5474164/,Rebecca
Cannabis Legalization,Neutral,"This study also found a significantly lower level of perceived riskiness of marijuana use among youth in states with legalized medical marijuana versus other states. These differences, however, were present before medical marijuana laws were passed.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5474164/,Rebecca
Cannabis Legalization,Favour,Those in favor of legalizing buds from the cannabis plant say it is cheaper for patients than derivatives such as ingestible capsules.,https://mmpconnect.com/recreational-marijuana-legalization-bill-likely-dead-in-albany-sources/,Rebecca
Cannabis Legalization,Against,"Those side effects include cannabis hyperemesis syndrome, which is marked by severe, prolonged vomiting, a condition Lang called ironic due to the drug’s known ability to reduce nausea.",https://calgaryherald.com/cannabis/cannabis-health/cannabis-related-hospital-visits-spike-since-legalization-physicians,Rebecca
Cannabis Legalization,Favour,"Top reasons cited for potential cannabis consumption included treatment of chronic pain (85%), mental-health improvement (82%), treatment of minor injuries (81%), sleep aid (77%) and relaxation (74%).",https://www.marketwatch.com/story/1-in-3-us-adults-is-interested-in-using-legalized-cannabis-but-not-for-the-reason-youd-think-2019-06-05,Rebecca
Cannabis Legalization,Favour,"Twomey has campaigned for years to ensure her daughter’s access to medical cannabis. Her daughter, Ava, suffers from a rare form of epilepsy which responds well to medical cannabis.",https://www.thecanary.co/trending/2019/06/14/irish-pm-accused-of-disgraceful-and-snobbish-response-to-vital-parliamentary-question-on-medical-cannabis/,Rebecca
Cannabis Legalization,Favour,"We are still dealing with ignorance on this topic. Officials still think marijuana kill people and does more harm than alcohol, heroine or many other drugs.",https://twitter.com/AFCaptainStraw/statuses/1141359182840586240,Rebecca
Cannabis Legalization,Favour,"We believe that it is time to stop the ineffective, racially biased, and unjust enforcement of marijuana prohibition and to create a new, well-regulated, and inclusive marijuana industry that is rooted in racial and economic justice.",http://www.drugpolicy.org/issues/marijuana-legalization-and-regulation,Rebecca
Cannabis Legalization,Against,"We’re seeing more hospitalizations due to cannabis and more emergency room visits,” said Lang.",https://calgaryherald.com/cannabis/cannabis-health/cannabis-related-hospital-visits-spike-since-legalization-physicians,Rebecca
Cannabis Legalization,Favour,When the issue of medical cannabis is disrespected it disrespects the patients like my daughter Ava who are benefiting from it and disrespects those seeking a licence as we speak.,https://www.thecanary.co/trending/2019/06/14/irish-pm-accused-of-disgraceful-and-snobbish-response-to-vital-parliamentary-question-on-medical-cannabis/,Rebecca
Cannabis Legalization,Against,With some marijuana products averaging 68 percent THC — exponentially greater than the pot baby boomers once smoked — calls to poison control centers and visits to emergency rooms have risen.,https://www.washingtonpost.com/national/potent-pot-vulnerable-teens-trigger-concerns-in-first-states-to-legalize-marijuana/2019/06/15/52df638a-8c9a-11e9-8f69-a2795fca3343_story.html?utm_term=.f145c0337939,Rebecca
Cannabis Legalization,Favour,"You both said legalizing marijuana was a serious legislative priority this year, but here we are, the final day of the session, with Democrats controlling the whole government, and no bill has passed.",https://twitter.com/shaunking/status/1141337578903351296,Rebecca
Cannabis Legalization,Against,You will regret many aspects of marijuana legalization.,https://twitter.com/LionelMedia/status/1141346023660511232,Rebecca
Cannabis Legalization,Against,"Young adults who live in neighborhoods with a higher number of medical marijuana dispensaries use pot more frequently than their peers and have more positive views about the drug, according to a study released by the Rand Corp.",https://www.latimes.com/local/lanow/la-me-marijuana-pot-dispensary-young-people-20190617-story.html,Rebecca
Starbucks,Favour,"“Between his digital initiatives, his execution improvements, the partnership with UberEATS, and his buyback, Starbucks has been able to deliver two excellent quarters in a row.”",https://eu.usatoday.com/story/money/2019/06/19/starbucks-dunkin-shares-surging-dont-invest-right-now/1497860001/,Rebecca
Starbucks,Against,"“Had I not approached a security officer outside, not a single person at Starbucks thought to even check on me.”",https://www.foxnews.com/food-drink/food-blogger-claims-attacked-starbucks-hijab,Rebecca
Starbucks,Favour,"“I think Starbucks never should’ve sold off so hard in the first place last year, which is one reason why the stock has been such a fabulous winner as management just keeps delivering and delivering” solid numbers in 2019,” Cramer said.",https://eu.usatoday.com/story/money/2019/06/19/starbucks-dunkin-shares-surging-dont-invest-right-now/1497860001/,Rebecca
Starbucks,Favour,"“My coworkers are a riot,” Romanoff said. “One of my coworkers is a Juilliard graduate, one of them almost has his Ph.D. in Chemistry — they’re all really smart, really educated, really fun. It’s fun to work with them.”",https://www.gazettenet.com/Wanderlust-How-Patty-Romanoff-spent-her-Starbucks-sabbatical-26107318,Rebecca
Starbucks,Against,"“The only thing I don’t like about it is I have to be on my feet,” Romanoff admitted of the job. “A four-hour shift only gives me 10 minutes off my feet, and I don’t think people realize how hard it is to stand on your feet for four hours.",https://www.gazettenet.com/Wanderlust-How-Patty-Romanoff-spent-her-Starbucks-sabbatical-26107318,Rebecca
Starbucks,Against,@Starbucks what’s wrong with your soy? It’s clumpy!!!,https://twitter.com/JudyMaxwell_/status/1141746192763609088,Rebecca
Starbucks,Favour,"A Fresno County, Calif., judge has issued a tentative ruling that a local Starbucks and its manager did not discriminate against or harass a transgender employee.",https://www.advocate.com/transgender/2019/6/17/judge-trans-starbucks-worker-didnt-suffer-harassment,Rebecca
Starbucks,Against,"A popular food blogger alleges that she was recently attacked for wearing a hijab, claiming that neither bystanders nor employees at the Starbucks where the incident occurred did anything to help her.",https://www.foxnews.com/food-drink/food-blogger-claims-attacked-starbucks-hijab,Rebecca
Starbucks,Neutral,A spokesperson for Starbucks told Yahoo Lifestyle that they have since spoken with Ashour regarding the incident and that any type of discriminator behavior is not acceptable in their stores.,https://www.yahoo.com/lifestyle/mother-says-she-was-attacked-in-starbucks-for-wearing-a-hijab-america-do-better-205643068.html?guccounter=1&guce_referrer=aHR0cHM6Ly9nYWIuY29tL3NlYXJjaC9zdGFyYnVja3MvbGF0ZXN0&guce_referrer_sig=AQAAABLlv7BNL1q5PtPcdJRk1ONCJFDc3HEay6DQcEsVsnwilUCp4sEW7ATkcHATia9weRH-Ipkkq8xZmH-PJblMtb3QHRd35fFlIimjwFhivTNXqA7VFwM2OVa0H4NA4KhNk_y61HLFVBl3tgYWP1qXYf0kDc3NwxqM5CfzgOFRgjmQ,Rebecca
